name,price
Dana Tranç,1200.0
Dana Ekonomik Kuşbaşı Kg,1150.0
Dana Kuşbaşı,1150.0
Dana Kasap Köfte Kg,869.9
Dana Haşlamalık Kemikli Kg,850.0
Dana Et Sotelik,1250.0
Dana Döş (kıyma),799.9
Dana Antrikot,1950.0
Kuzu Gerdan Haşlama Kg,895.0
Kuzu Lokum Kg,1290.0
Dana Biftek Kg,1250.0
Dana Osobuko Kg,810.0
Kuzu Incik Kg,999.9
Dana Kontrafile Kg,1434.95
Dana Jülyen,1250.0
Dana Bonfile,2095.0
Kuzu Kapama,1100.0
Kuzu Pirzola,2100.0
Kuzu Kuşbaşı,1290.0
Kuzu Külbastı,1690.0
Kuzu Kol,1100.0
Kuzu But,1250.0
Urfa Kebap  Sade Kg,825.0
Adana  Kebap Acılı Kg,900.0
Dana Hamburger Köfte Kg,869.9
Sırmakeş Su 5 Lt,25.9
"Erikli Su 0,33lt Cam",14.95
Uludağ Premium 400ml Doğal Kaynak Suyu Pet,9.9
Uludağ Premium 1lt Doğal Kaynak Suyu Pet,16.9
Saka Su 5 Lt,49.9
"Damla Su 1,5 Lt",20.0
Damla Su 5 Lt,49.9
Damla Su 500ml,9.9
Erikli Su 500ml,10.0
"Erikli Su 1,5lt",19.9
Erikli Su 5lt,39.95
Erikli Su 10lt,69.9
Özkaynak Su 5 Lt,49.9
Özkaynak Su 500ml,10.0
"Özkaynak Su 1,5 Lt",15.0
Tariş Sızma 2lt Güney Ege Zeytinyağı,849.9
Biryağ Ayçiçek Yağı 4lt Pet,379.95
Yudum Ayçiçek Yağı 4 Lt Pet,415.0
Komili Sızma 500ml Zeytinyağı Pet,245.0
Tariş Z.yağı Sızma 750ml Cam Naturel 1915,465.0
Yudum Sızma 2lt Z.yağı Egemden,794.95
Komili Ege Sızma 1lt Zeytinyağı,295.0
Yudum Riviera 1 Lt Z.yağı Pet,329.9
Komili Riviera 3lt Zeytinyağı Tnk,999.9
Tariş Z.yağ Riviera 500ml Maraska Cam,249.9
Tariş Z.yağ Riviera 2lt Tnk,890.0
Komili Sızma 1lt Zeytinyağı,399.9
Komili Riviera 500ml Zeytinyağı,199.9
Komili Sızma 2lt Zeytinyağı,889.9
Komili Riviera 2lt Zeytinyağı,735.0
Komili Riviera 1lt Zeytinyağı,369.9
Sırma Mısır Yağı 2 Lt,250.0
Sırma Mısır Yağı 1 Lt,135.0
Biryağ Ayçiçek Yağı 1 Lt Pet,117.9
Biryağ Ayçiçek Yağı 2 Lt Pet,233.95
Biryağ Ayçiçek Yağı 5 Lt,549.95
Yudum Ayçiçek Yağı 5 Lt,549.95
Yudum Ayçiçek Yağı 1 Lt Pet,169.9
Yudum Ayçiçek Yağı 2 Lt Pet,239.9
Renax Kapsül Gold 50li,219.9
Bingo Akıllı Kapsül Pro Max H1a 60 Lı,389.9
Bingo Akıllı Kapsül Pro Max H1a 20 Lı,145.9
Bingo Akıllı Kapsül H1a 80 Lı,459.9
Bingo Akıllı Kapsül H1a 50 Lı,279.9
Bingo Akıllı Kapsül H1a 36 Lı,219.9
Renax Kapsül H1a 10 Lu,49.95
Finish Parlatıcı 800ml Limon,225.9
Finish Quantum Ultımate Plus 40lı Tablet,499.9
Fairy Sıvı 2600ml Limon,289.9
Frosch Bulaşık Deterjanı 750ml Balsam,129.9
Finish Jel H1a Konsantre 1lt Limon,479.9
Pril Makine Temizleyici 250ml,165.9
Bingo Sıvı Bulaşık Deterjanı 4kg,199.9
Frosch Bulaşık Deterjanı 750ml Limonlu,129.9
Frosch Bulaşık Deterjanı 750ml Aloveralı,129.9
Finish H1a Tablet 42lı,199.9
Pril Gold Jel 50 Yıkama Yağ Çözücü,309.9
Pril Gold Jel 50 Yıkama Hijyen,309.9
Fairy Sıvı Platinium 1500ml Limon,199.9
Finish Makine Temizleyici Sıvı 250ml Limonlu,129.9
Fairy Kapsül H1a 36lu Sarı,329.9
Pril Parlatıcı 750ml,165.9
Finish Parlatıcı 800ml Normal,225.9
Finish Makine Temizleyici Sıvı 250ml Normal,129.9
Fairy Sıvı 650ml Elma,79.9
Pril Tuz 2000gr,92.9
Finish Parlatıcı 400ml Limon,139.9
Finish Parlatıcı 400ml Normal,139.9
Fairy Sıvı 650ml Limon,79.9
Pril Sıvı 675ml Klasik Limonlu,86.9
Pril Sıvı 4kg Limon,269.9
Sarıyer Gazoz 330ml Kutu Karışık Meyve,21.5
"Sarıyer Cola 2,5 Lt",49.9
Caprisun Safari 200ml,16.5
Caprisun Mystic Dragon 200ml,16.5
Coca Cola Kutu 6x250ml Orijinal,250.0
Pepsi 250ml Kutu Cola,45.0
"Sprite 1,5 Lt Gazoz Limonlu",70.0
Uludağ Efsane 1lt Şekersiz Gazoz,45.9
"Uludağ Efsane 1,5lt Portakal Gazoz",59.9
"Uludağ Efsane 1,5lt Sade Gazoz",59.9
Yedigün 1lt Portakal,55.0
Uludağ Efsane 1lt Portakallı Gazoz,45.9
Schweppes 1 Lt Tonik,85.0
"Sprite 2,5 Lt Gazoz",90.0
Coca Cola Cam Şişe 200ml Orijinal,34.95
"Coca Cola 2,5lt Şekersiz Pet",89.95
Pepsi 1lt Cola,55.0
Çamlıca 1 Lt Gazoz Sade,49.9
Sprite Kutu 250ml,45.9
Fanta Kutu 250ml Portakal,43.95
Coca Cola Kutu 250ml Light,44.95
Coca Cola Kutu 250ml Şekersiz,44.95
Coca Cola Kutu 250ml Orijinal,44.95
"Cola Turka 1,5 Lt",55.0
Çamlıca Şişe 200 Ml Limon,18.9
Çamlıca Şişe 200 Ml Portakal,18.9
Niğde Gazozu 250ml,19.9
"Yedigün 2,5lt Portakal",89.9
"Pepsi 2,5lt Cola",71.9
Uludağ Efsane 1lt Sade Gazoz,45.9
"Çamlıca 2,5 Lt Limon",70.0
Damla Minera 200ml Elmalı,15.0
Uludağ Efsane Gazoz 250ml Şekersiz Cam,29.9
Uludağ Efsane Gazoz 250 Ml Cam,29.9
Çamlıca 330ml Portakal,31.9
"Çamlıca 2,5 Lt Portakal",70.0
"Çamlıca 1,5 Lt Portakal",54.9
Coca Cola Şişe 250ml Şekersiz,55.0
"Coca Cola 1,5lt Şekersiz Pet",70.0
"Coca Cola 1,5 Lt Lıght Pet",70.0
Coca Cola 1lt Şekersiz Pet,59.95
Coca Cola 1lt Lıght Pet,59.95
Çamlıca 1 Lt Lıght Gazoz,49.9
Schweppes 1 Lt Limon Aromalı Pet,85.0
Çamlıca Şişe 200ml Gazoz,17.9
Cola Turka 200 Ml Şişe,22.0
Coca Cola Şişe 250ml Orijinal,55.0
Cola Turka 1 Lt,39.95
"Çamlıca 2,5 Lt Gazoz Sade",70.0
"Cola Turka 2,5 Lt",59.9
Sprite 1 Lt Gazoz,60.0
"Fanta 1,5 Lt Portakal Pet",70.0
Coca Cola 450ml Pet Şekersiz,48.9
Coca Cola 450ml Pet Orijinal,48.9
"Coca Cola 1,5 Lt Orijinal",70.0
"Fanta 2,5 Lt Portakal Pet",90.0
Powerade 500ml Sun Rush Mango Portakal,69.9
"Coca Cola 2,5 Lt Orijinal Pet",89.95
Powerade 500 Ml Ice Blast Karışık Pet,69.9
Fanta 1 Lt Portakal Pet,60.0
Coca Cola 1lt Orijinal Pet,59.95
Schweppes 1 Lt Mandalina Pet,85.0
Schweppes 250ml Bitter Limon Cam,59.9
Fanta 500 Ml Portakal Pet,55.0
"Billur Tuz 1,5kg Iyotlu Sofra Tuzu",69.9
Billur Tuz 500gr Iyotlu Plastik Tuzluklu,47.9
Billur Tuz 750gr Deniz Tuzu Gümüş,34.9
Damak Acı Pul Biber 40gr Extra,94.9
Damak Himalaya Tuzu 110gr,89.9
Damak Et Çeşnisi 45gr,99.9
Damak Pasta Süsü 40gr Boncuk Mix,42.9
Damak Pasta Süsü Damla Çikolata 40gr,42.9
Damak Yer Fıstığı  25gr Helvalık,39.9
Kenton Karbonat 40gr,8.9
Kenton Karbonat 5li,9.9
Billur Tuz 500gr Himalaya Doypack,99.9
Damak Çıtır Pane Harcı 70gr,39.9
Damak Tavuk Harcı 70gr,46.9
Damak Köfte Harcı 80gr,39.9
Damak Sebzeli Baharat Çeşni 125gr,56.9
Damak Tavuk Baharat Çeşni 75gr,59.9
Damak Antep Fıstığı Toz 30gr,199.9
Damak Kahvaltılık Poy 46gr,46.9
Damak Zerdeçal 70gr,52.9
Damak Kişniş 40gr,23.9
Damak Köri 70gr,53.9
Damak Sarımsak Tozu 40gr,44.9
Damak Kuş Üzümü 40gr,66.9
Damak Yeni Bahar 30gr,73.9
Damak Dolma Fıstığı 23gr,223.9
Damak Köfte Bahar 65gr,49.9
Damak Dolma Bahar 40gr,35.9
Damak Karanfil 15gr,45.9
Damak Karbonat 150gr,29.9
Damak Fesleğen 30gr,28.9
Damak Defne Yaprağı 6gr,26.9
Damak Kabuk Tarçın 40gr,59.9
Damak Tane Karabiber 40gr,63.9
Damak Isot 80gr,66.9
Damak Toz Zencefil 60gr,58.9
Damak Sumak 80gr,79.9
Damak Acı Biber 75gr,59.9
Damak Tatlı Biber 75gr,65.9
Damak Tarçın 45gr,45.9
Damak Susam 75gr,44.9
Damak Çörek Otu 75gr,59.9
Damak Kimyon 75gr,66.9
Damak Hindistan Cevizi 50gr,53.9
Damak Kekik 20gr,49.9
Damak Nane 30gr,29.9
Damak Mavi Haşhaş 80gr,58.9
Damak Limon Tuzu 275gr Kilitli Eko Poşet,95.9
Damak Hindistan Cevizi 160gr Eko Boy,144.9
Damak Pul Biber Eko Boy 210gr,147.9
Damak Kekik 60gr Eko Boy,116.9
Damak Nane 70gr Eko Boy,64.9
Billur Tuz 3kg Iyotlu Sofra Tuzu,139.9
Billur Tuz 3kg Salamura,75.9
Knorr Tavuk Fırın Çeşni Mangal Lezzeti 29gr,47.9
Dr.oetker Karbonat 5 Li 25 Gr,8.25
Knorr Harç Pane 100gr,47.9
Ülker Bm Köfte Harcı 2li 85gr,44.9
Ülker Bm Çıtır Tavuk Pane Harcı 88gr,44.9
Billur Tuz 125gr Iyotlu Karton Tuzluklu,25.9
Billur Tuz 500gr Sodyumu %50 Az.karton Iyotsuz,124.9
Billur Tuz 250gr Iyotsuz Karton Tuzluklu,38.9
Billur Tuz 500gr Iyotlu Karton Tuzluklu,56.9
Öncü 910gr Domates Salça Pet,135.0
Heinz Set Ketçap 375gr Mayonez 330gr,129.9
Tamek Konserve Mısır 3x210gr,120.9
S.fresh Mısır Konservesi 3x200gr,79.9
Fersan Közlenmiş Biber 680gr,99.9
Kühne Turşu 670gr Grillgurken Salatalık Cam,149.93
Kühne Sirke 2lt Beyaz Pet,74.93
Dardanel Klasik Ton 3x75gr,399.9
Öncü 700gr Domates Salça Cam Kvn.,89.9
Öncü Ketçap 700gr Acı,66.5
Öncü Ketçap 700gr Tatlı,66.5
Öncü 830gr Domates Salça,79.9
Ipek Köy Domates Salça 1650cc,139.9
Aysan 670gr Salatalık Turşu Cam,59.9
Happy Life 500ml Org.alıç Sirkesi Cam,128.0
Happy Life 500ml Org.elma Sirkesi Cam,128.0
K.kükrer Beyaz Sirke 2lt Klasik,75.9
Fersan Beyaz Sirke 2lt Pet,105.0
K.kükrer Elma Sirkesi Gurme 500ml Cam,129.9
Ipek Biber Salça 1600gr Acı,185.0
Tat Mısır 3x210gr 3 Al 2 Öde,114.9
Heinz Ketçap 375gr Acılı,117.9
Tat H.yemek Etli Nohut 400gr,122.0
Tat H.yemek Etli Kuru Fasulye 400gr,109.9
Tat Mayonez 550gr,160.0
Tat Ketçap 650gr Büfe Tatlı,99.9
Tat H.yemek Patlıcan Kızartması 380gr,155.0
Tat H.yemek Yaprak Sarma 400gr,159.0
Tat H.yemek Fasulye Pilaki 400gr,79.0
Tat H.yemek Barbunya Pilaki 400gr,79.0
Kühne Turşu 670gr Kornişon Tuzazz Cam,168.68
Kühne Sirke 1lt Elma Pet,119.93
Kühne Sirke 1lt Üzüm Pet,111.68
Ipek Köy Domates Salça 660cc Cam,43.9
Tat Turşu 350gr Salatalık,149.9
Fersan Beyaz Sirke 1lt Pet,57.0
Heinz 400gr Meksika Kırmızı Fasulyesi,185.0
Calve Mayonez 245gr Sarımsaklı,89.9
Tat Domates Suyu 1 Lt Cam,99.9
Öncü 1650gr Domates Salçası,179.95
Öncü 1650gr Tatlı Biber Salça,299.9
Tat Meksika Fasulyesi 410gr,78.0
Tat Pratik Doğ.domates 340gr,64.9
Tat Turşu 680gr Pancar,179.9
Tat Turşu 330gr Biberiye Biber,112.0
Tat Turşu 330gr Acı Biber,112.0
Tat Turşu 680gr Salatalık,119.9
Kühne Turşu 650gr Jalapeno Biber Cam,149.93
Kühne Turşu 340gr Cüccü Kornişon,119.93
Heinz Mısır 400gr Tatlı,185.0
Tat Domates Salçası Köy Tipi 560gr,139.9
Kühne Turşu 350gr Kornişon Alman Tipi Cam,127.43
Done Elma Sirkesi 500ml,27.95
Tat Haşlanmış Nohut 800gr,90.0
Kühne Sirke 500ml Elma Pet,78.75
Öncü 1650gr Acı Biber Salça,299.9
Tat Köy Ant.acı Dom.biber Salça 550gr,165.0
Tat Domates Rendesi 685gr Cam,89.9
Tat Turşu 650gr Karışık,169.9
Süperfresh Ton 3x75gr Klasik Ekonomik,265.0
Tat Taze Fasulye 670gr Cam Konserve,160.0
Tat Patlıcan Salatası 520 Gr Cam,159.9
Tat Haşlanmış K.fasulye 800gr,90.0
Doğanay Şalgam 300 Ml Sade Pet,24.0
Tamek Dilimli Turşu 370gr Jalapeno Cam,93.9
Tat Közlenmiş Biber 670gr,199.9
Tat Domates Püresi 200 Gr,32.9
Kühne Turşu 680gr Pancar Cam,134.93
Fersan Elma Sirkesi 2lt Pet,225.0
Tat Mayonez 205gr Pls,85.0
Tat Domates Salçası 360gr Cam,69.9
Tat Garnitür 550gr Cam Bezelyeli,84.0
Tamek Turşu 370gr Yakan Biber,114.9
Tat Ketçap 250gr Acılı Coex,65.0
Tat Mayonez 330gr,130.0
Tamek Domates Salça 370cc Cam,66.9
Doğanay Şalgam 300ml Acılı  Pet,24.0
Tat Haşlanmış Barbunya 800gr,90.0
Tat Cevizli Ezme 300gr,99.0
Tat Domates Salçası 170gr Tnk.,35.9
Tat Ketçap 250gr Tatlı Coex,65.0
Tamek Turşu 720gr Kornişon Cam,157.9
Kühne Turşu 680gr Karışık Cam,134.93
Tamek Turşu 330gr Kornişon,126.9
Tamek Turşu 370gr Biberiye Cam,114.9
Aysan 1100gr Karışık Turşu Poşet,64.9
Aysan 400gr Salatalık Turşu Poşet,55.0
Aysan 400gr Yakan Biber Turşu Poşet,62.0
Aysan 360gr Biberiye Turşu Poşet,62.0
Kühne Turşu 670gr Salatalık Cam,134.93
Kühne Turşu 325gr Biberiye Cam,112.43
Kühne Turşu 325gr Acı Biber Cam,112.43
Kühne Turşu 350gr Kornişon Türk Tipi Cam,112.43
Kühne Turşu 670gr Gewurzgurken Salatalık Cam,149.93
Tat Biber Salça 810gr Tnk Tatlı,195.0
Tat Doğ.domates 400gr Tnk,59.9
Tat Domates Salçası 430gr Tnk.,49.9
Tat Domates Salçası 830gr Tnk,69.95
Tat Domates Salçası 710gr Cam,99.9
Tamek Domates Salça 830gr Tnk,91.9
Tamek Domates Salça 720cc Cam,99.9
Tat Biber Salça 550gr Cam Tatlı,140.0
Tat Biber Salça 550gr Cam Acı,140.0
Tat Biber Salça 810gr Tnk Acı,195.0
Tamek Haşlanmış Nohut 800gr,81.9
Tamek Haşlanmış Barbunya 850ml,91.9
Tamek Haşlanmış Kuru Fasulye 830gr,81.9
Tamek Haz.yem.yaprak Sarma 400gr,131.9
Tamek Haz.yem.barbunya Pilaki 400gr,73.9
Tat Bamya Sultani 670gr Cam Konserve,205.0
Tat Bezelye 680gr Cam No:3,84.0
Tat Mısır Konserve 320gr Cam,70.0
Tat Közlenmiş Patlıcan 520gr Cam,159.9
Tamek Közlenmiş Kırmızı Biber 670gr,129.9
Tat Bezelye 830gr Tnk.,92.0
Tat Garnitür 340gr Cam Bezelyeli,62.0
Tamek Bezelye 670gr Cam,75.9
